"","rango","fit"
"95",607,0.129930307952442
"96",608,0.130077367467232
"97",609,0.13022200802426
"98",610,0.130364236193882
"99",611,0.130504058984381
"100",612,0.130641483838472
"101",613,0.130776518629696
"102",614,0.130909171658675
"103",615,0.131039451649242
"104",616,0.131167367744454
"105",617,0.131292929502477
"106",618,0.131416146892371
"107",619,0.131537030289752
"108",620,0.131655590472347
"109",621,0.131771838615455
"110",622,0.131885786287299
"111",623,0.131997445444284
"112",624,0.132106828426166
"113",625,0.132213947951132
"114",626,0.132318817110787
"115",627,0.132421449365077
"116",628,0.13252185853712
"117",629,0.132620058807973
"118",630,0.132716064711326
"119",631,0.132809891128135
"120",632,0.13290155328119
"121",633,0.132991066729633
"122",634,0.133078447363412
"123",635,0.133163711397695
"124",636,0.13324687536724
"125",637,0.133327956120717
"126",638,0.133406970814992
"127",639,0.133483936909391
"128",640,0.133558872159915
"129",641,0.133631794613446
"130",642,0.133702722601921
"131",643,0.133771674736491
"132",644,0.133838669901663
"133",645,0.133903727249439
"134",646,0.133966866193435
"135",647,0.134028106403006
"136",648,0.134087467797371
"137",649,0.13414497053973
"138",650,0.134200635031404
"139",651,0.134254481905972
"140",652,0.134306532023427
"141",653,0.134356806464348
"142",654,0.134405326524094
"143",655,0.134452113707014
"144",656,0.13449718972069
"145",657,0.134540576470212
"146",658,0.134582296052468
"147",659,0.134622370750493
"148",660,0.134660823027838
"149",661,0.134697675522986
"150",662,0.134732951043813
"151",663,0.134766672562089
"152",664,0.134798863208033
"153",665,0.13482954626492
"154",666,0.134858745163734
"155",667,0.134886483477886
"156",668,0.134912784917983
"157",669,0.134937673326659
"158",670,0.134961172673473
"159",671,0.134983307049868
"160",672,0.135004100664191
"161",673,0.135023577836794
"162",674,0.135041762995196
"163",675,0.135058680669321
"164",676,0.135074355486804
"165",677,0.135088812168386
"166",678,0.13510207552337
"167",679,0.135114170445167
"168",680,0.13512512190692
"169",681,0.135134954957206
"170",682,0.135143694715824
"171",683,0.135151366369665
"172",684,0.135157995168677
